CustomerID,Churn Probability,Churn Prediction
9497-QCMMS,0.8492329535883666,Yes
9300-AGZNL,0.8483171451279974,Yes
7024-OHCCK,0.8470984638299214,Yes
5178-LMXOP,0.845756835672054,Yes
4424-TKOPW,0.8451347115725959,Yes
2720-WGKHP,0.8442228233764387,Yes
1374-DMZUI,0.8409521717542855,Yes
5150-ITWWB,0.8408736279279589,Yes
7216-EWTRS,0.8406826386578952,Yes
5567-WSELE,0.8388310638171848,Yes
8098-LLAZX,0.8372929037285963,Yes
1069-XAIEM,0.8224932905904001,Yes
8149-RSOUN,0.8223354471514641,Yes
2545-EBUPK,0.8208351533998038,Yes
4910-GMJOT,0.8205914289315155,Yes
5192-EBGOV,0.8192636851642591,Yes
1415-YFWLT,0.8163070781346797,Yes
6861-XWTWQ,0.8158100125892006,Yes
5277-ZLOOR,0.8155589411547247,Yes
7851-WZEKY,0.815235141814387,Yes
0295-PPHDO,0.8151773922417007,Yes
4826-XTSOH,0.8146668113081007,Yes
4695-WJZUE,0.8140258724377998,Yes
3068-OMWZA,0.812823026792906,Yes
3158-MOERK,0.8121455347912644,Yes
3988-RQIXO,0.8115042775481588,Yes
4822-RVYBB,0.8111007746307842,Yes
8884-ADFVN,0.8108036455887828,Yes
3049-SOLAY,0.810348062482071,Yes
4750-ZRXIU,0.8099643065023951,Yes
6630-UJZMY,0.8087568867563362,Yes
2446-BEGGB,0.8075123801704044,Yes
9057-SIHCH,0.807164366247182,Yes
0781-LKXBR,0.8070229234428038,Yes
6496-SLWHQ,0.8060611999008289,Yes
2660-EMUBI,0.8054831058939985,Yes
1400-MMYXY,0.8053146870635096,Yes
5419-JPRRN,0.8050237255803268,Yes
2012-NWRPA,0.8045418012784805,Yes
1273-MTETI,0.804387641448497,Yes
3793-MMFUH,0.8010537582044452,Yes
2865-TCHJW,0.800390448805004,Yes
6023-YEBUP,0.7988462679913044,Yes
0021-IKXGC,0.7980402185490291,Yes
0196-VULGZ,0.7974322557901574,Yes
6521-YYTYI,0.7966543668459034,Yes
8972-HJWNV,0.7959158982083117,Yes
7450-NWRTR,0.7955769542454627,Yes
1724-BQUHA,0.7942668460007892,Yes
9681-OXGVC,0.7939495497318517,Yes
9061-TIHDA,0.7937235975420928,Yes
4847-TAJYI,0.7933741551632955,Yes
8161-QYMTT,0.7926448442067461,Yes
1833-VGRUM,0.7926204970498796,Yes
8775-LHDJH,0.792246661861573,Yes
6350-XFYGW,0.7918899550819791,Yes
0723-DRCLG,0.7915856656261309,Yes
8473-VUVJN,0.7902845219893455,Yes
6513-EECDB,0.7901627349837596,Yes
4626-GYCZP,0.7900485818737627,Yes
9282-IZGQK,0.7891253969292326,Yes
3551-HUAZH,0.7883068737260568,Yes
4912-PIGUY,0.7882392700478671,Yes
4102-OQUPX,0.7879194194610176,Yes
8414-MYSHR,0.7878033712793596,Yes
3389-YGYAI,0.7876981332458035,Yes
5240-IJOQT,0.7875120044604992,Yes
5383-MMTWC,0.7861599073279603,Yes
4988-IQIGL,0.7857823192694514,Yes
3320-VEOYC,0.7855415250789382,Yes
7668-XCFYV,0.7853669486397777,Yes
2205-YMZZJ,0.7849348365951476,Yes
7943-RQCHR,0.7848806798611783,Yes
6894-LFHLY,0.7847128183157693,Yes
4115-NZRKS,0.7846094574095356,Yes
9134-CEQMF,0.7845992141439747,Yes
0107-YHINA,0.7845469567236477,Yes
6567-HOOPW,0.7836552100320403,Yes
8245-UMPYT,0.783319478069489,Yes
8058-JMEQO,0.7831262073152919,Yes
9248-OJYKK,0.7828318814010777,Yes
9305-CDSKC,0.7826655524487167,Yes
0187-QSXOE,0.7823337080439711,Yes
9965-YOKZB,0.7822992701730935,Yes
3489-HHPFY,0.7820974962734671,Yes
1143-NMNQJ,0.781769319314868,Yes
5565-FILXA,0.7813436472487021,Yes
8603-IJWDN,0.7809856770552428,Yes
5935-FCCNB,0.7808990698042219,Yes
4713-LZDRV,0.7806206992105068,Yes
3722-WPXTK,0.7806145746400807,Yes
8580-AECUZ,0.7800243084175034,Yes
1304-NECVQ,0.7797901293911722,Yes
4145-UQXUQ,0.7795663951317892,Yes
1455-ESIQH,0.7785712874610572,Yes
7577-SWIFR,0.7781609998388007,Yes
1075-BGWOH,0.777815837227102,Yes
0970-ETWGE,0.7773387950393493,Yes
3319-DWOEP,0.776901275519266,Yes
6474-FVJLC,0.7767763709463786,Yes
2642-DTVCO,0.7767104721809329,Yes
0259-GBZSH,0.7765723149773779,Yes
2982-VPSGI,0.776481918145739,Yes
3027-ZTDHO,0.7763768107907101,Yes
0564-JJHGS,0.7757483663262078,Yes
2656-TABEH,0.7749087333490248,Yes
6230-BSUXY,0.7748513761334953,Yes
1624-NALOJ,0.7747047409245208,Yes
7274-RTAPZ,0.7745824288378548,Yes
0722-TROQR,0.7738865834004728,Yes
2265-CYWIV,0.7738802349988791,Yes
8593-WHYHV,0.7738744520757372,Yes
1197-BVMVG,0.7737217526971594,Yes
2725-KXXWT,0.7736221788496846,Yes
6969-MVBAI,0.7732032049700791,Yes
2034-GDRCN,0.772972138045692,Yes
1455-UGQVH,0.7728189031439006,Yes
7225-CBZPL,0.7725410805071863,Yes
2968-SSGAA,0.7724708308235999,Yes
7576-OYWBN,0.7720163410795735,Yes
1658-BYGOY,0.7709048899530799,Yes
3902-FOIGH,0.7702003640480826,Yes
9546-CQJSU,0.7700394191165654,Yes
